District,School_Name,Grade,latitude_long,Lat,Long,Public
Minneapolis,Center School Alternative Program,7-12,"44.9583012,-93.2521059",44.9583012,-93.2521059,TRUE
Minneapolis,Loring Nicollet Alternative Program,9-12,"44.9635748,-93.2624292",44.9635748,-93.2624292,TRUE
Minneapolis,MACC-IS,10-12,,#VALUE!,,TRUE
Minneapolis,Menlo Park Academy Alternative Program,10-12,"45.0056577,-93.2680338",45.0056577,-93.2680338,TRUE
Minneapolis,MERC Alternative Program,10-12,"44.9566046,-93.2828467",44.9566046,-93.2828467,TRUE
Minneapolis,PYC Arts  & Technology Alternative Program,9-12,"45.0014652,-93.3069643",45.0014652,-93.3069643,TRUE
Minneapolis,Takoda Prep Alternative Program,9-12,"44.9618237,-93.2461406",44.9618237,-93.2461406,TRUE
Minneapolis,VOA High School Alternative Program,10-12,,#VALUE!,,TRUE
Minneapolis,Wellstone International High School,9-12,"44.9756679,-93.2774356",44.9756679,-93.2774356,TRUE
Minneapolis,Washburn High School,9-12,"44.9133631,-93.2817111",44.9133631,-93.2817111,TRUE
Minneapolis,Southwest High School,9-12,"44.9179957,-93.3229983",44.9179957,-93.3229983,TRUE
Minneapolis,South High School,9-12,"44.9456577,-93.243599",44.9456577,-93.243599,TRUE
Minneapolis,South All Nations,9-12,,#VALUE!,,TRUE
Minneapolis,Roosevelt Spanish Dual Language,9-12,,#VALUE!,,TRUE
Minneapolis,Roosevelt High School,9-12,"44.9220558,-93.2321617",44.9220558,-93.2321617,TRUE
Minneapolis,North High School,9-12,,#VALUE!,,TRUE
Minneapolis,MPS Online School,k-12,,#VALUE!,,TRUE
Minneapolis,Longfellow Teen Parent Services,9-12,,#VALUE!,,TRUE
Minneapolis,Heritage Academy,9-12,"44.94288,-93.261406",44.94288,-93.261406,TRUE
Minneapolis,Henry High School,9-12,"45.0343498,-93.305307",45.0343498,-93.305307,TRUE
Minneapolis,FAIR School for Arts,9-12,"44.9756679,-93.2774356",44.9756679,-93.2774356,TRUE
Minneapolis,Edison High School,9-12,"45.009892,-93.252449",45.009892,-93.252449,TRUE
Minneapolis,Andersen Spanish Dual Language Middle School,6-8,,#VALUE!,,TRUE
Minneapolis,Andersen United Middle School,6-8,"44.9533765,-93.2588141",44.9533765,-93.2588141,TRUE
Minneapolis,Anthony Middle School,6-8,"44.8982841,-93.2990834",44.8982841,-93.2990834,TRUE
Minneapolis,Anwatin Middle School,6-8,"44.9741826,-93.3164465",44.9741826,-93.3164465,TRUE
Minneapolis,Ella Baker Global Studies and Humanities School,PreK-8,"44.9560644,-93.2953731",44.9560644,-93.2953731,TRUE
Minneapolis,Franklin STEAM Middle School,6-8,,#VALUE!,,TRUE
Minneapolis,Justice Page Middle School,6-8,"44.913407,-93.2789531",44.913407,-93.2789531,TRUE
Minneapolis,Northeast Middle School,6-8,"45.0214372,-93.2344463",45.0214372,-93.2344463,TRUE
Minneapolis,Olson Middle School,6-8,"45.0476321,-93.3207802",45.0476321,-93.3207802,TRUE
Minneapolis,Sanford Middle School,6-8,"44.9387478,-93.2133992",44.9387478,-93.2133992,TRUE
Minneapolis,Sullivan STEAM School,PreK-8,"44.9519685,-93.240922",44.9519685,-93.240922,TRUE
Minneapolis,Anishinabe Academy,PreK-5,"44.951977,-93.227043",44.951977,-93.227043,TRUE
Minneapolis,Armatage Elementary Community,K-5,"44.9007772,-93.3114757",44.9007772,-93.3114757,TRUE
Minneapolis,Bancroft Elementary School,PreK-5,"44.9336906,-93.2555624",44.9336906,-93.2555624,TRUE
Minneapolis,Barton Elementary School,K-5,"44.9255247,-93.2914693",44.9255247,-93.2914693,TRUE
Minneapolis,Bethune Arts Elementary School,PreK-5,"44.987618,-93.294158",44.987618,-93.294158,TRUE
Minneapolis,Bryn Mawr Elementary School,PreK-5,"44.9744121,-93.3148388",44.9744121,-93.3148388,TRUE
Minneapolis,Burroughs Elementary School,K-5,"44.9116519,-93.2999443",44.9116519,-93.2999443,TRUE
Minneapolis,Cityview Elementary School,PreK-5,"45.0161193,-93.2841408",45.0161193,-93.2841408,TRUE
Minneapolis,Dowling Elementary School,K-5,"44.932431,-93.2028059",44.932431,-93.2028059,TRUE
Minneapolis,Emerson Dual Language Elementary School,K-5,"44.9682638,-93.2803991",44.9682638,-93.2803991,TRUE
Minneapolis,Field Elementary School,3-5,"44.9188059,-93.2696168",44.9188059,-93.2696168,TRUE
Minneapolis,Folwell Elementary School,PreK-5,"44.9372079,-93.2429078",44.9372079,-93.2429078,TRUE
Minneapolis,Green Central Dual Language Elementary School,PreK-5,"44.940118,-93.2710509",44.940118,-93.2710509,TRUE
Minneapolis,Hale Elementary School,K-2,"44.906,-93.2567065",44.906,-93.2567065,TRUE
